CustomerID,FirstName,LastName,Age,City,Country,Email,CorporateEmail,Newsletter,AgeGroup,CustomerGroup
49-497-845-360,Hans-Wilhelm ,Brill,19.0,Nuernberg,Germany,Hans-Wilhelm .Brill@email.com,,0.0,Adult,CC2
50-502-936-996,Deborah,Gilbert,43.0,Berlin,Germany,Deborah.Gilbert@email.com,,0.0,Adult,CC2
27-275-955-149,Ingeburg,Reiter,25.0,Turin,Italy,Ingeburg.Reiter@email.com,,0.0,Adult,CC1
65-655-201-926,Ludwina,Sadowski,28.0,Las Vegas,United_States,Ludwina.Sadowski@email.com,,1.0,Adult,CC1
82-823-625-254,Hella,Kittel,17.0,Sofia,Bulgaria,Hella.Kittel@email.com,,1.0,Adolescent,CC2
31-317-424-835,Rüdiger,Ehrlich,25.0,Minsk,Belarus,Rüdiger .Ehrlich@email.com,,1.0,Adult,CC2
50-500-730-888,Annekatrin,Pauly,20.0,Odessa,Ukraine,Annekatrin.Pauly@email.com,,1.0,Adult,CC2
44-449-769-380,Olaf,Gebert,16.0,Mariupol,Ukraine,Olaf.Gebert@email.com,,1.0,Adolescent,CC1
20-206-456-441,Maya,Ruf,54.0,Palermo,Italy,Maya.Ruf@email.com,,1.0,Adult,CC3
43-437-190-643,Samuel,Kracht,48.0,Nottingham,United_Kingdom,Samuel .Kracht@email.com,,1.0,Adult,CC1
51-519-824-667,Wally,Ruth,24.0,Dallas,United_States,Wally.Ruth@email.com,,1.0,Adult,CC3
31-314-964-218,Ron,Pick,27.0,Palermo,Italy,Ron .Pick@email.com,,1.0,Adult,CC1
55-550-462-421,Ruediger,Gleißner,27.0,Helsinki,Finland,Ruediger.Gleißner@email.com,,1.0,Adult,CC3
28-285-695-200,Eva-Marie,Wenk,48.0,Krakow,Poland,Eva-Marie.Wenk@email.com,,0.0,Adult,CC2
64-646-853-318,Silvia,Heinlein,25.0,Wandsbek,Germany,Silvia.Heinlein@email.com,,0.0,Adult,CC1
81-816-449-615,Burghard,Schiffmann,21.0,Vienna,Austria,Burghard .Schiffmann@email.com,Burghard .Schiffmann@corp.com,0.0,Adult,CC1
48-484-299-581,Fernando,Baur,29.0,Zaporizhia,Ukraine,Fernando .Baur@email.com,,1.0,Adult,CC3
47-474-558-858,Giuseppina,Nitsch,44.0,Denver,United_States,Giuseppina.Nitsch@email.com,,1.0,Adult,CC1
19-191-586-168,Albrecht,Panzer,50.0,Athens,Greece,Albrecht .Panzer@email.com,,1.0,Adult,CC1
94-940-731-996,Hans-Peter,Weinrich,49.0,Donetsk,Ukraine,Hans-Peter .Weinrich@email.com,,1.0,Adult,CC1
